user_id,friends
--UOvCH5qEgdNQ8lzR8QYQ,"['FFFeLM5rk29RZn6FmGlHYQ', 'PFNZVn73upq3oZDG2KnAqA']"
-05T0q5BxB9g0RCKiGYoyQ,['V7uS5US4oTf-S9u36HJQCQ']
-0HhZbPBlB1YZx3BhAfaEA,"['40m0541Z_KexYkdvvqHJIQ', '4fE37HSVJitQlI78K8uM1A', '5Nf8EdeXKFyhcAUmRovsrg', '8H6X6GhJhYkcNHjuBjOU4w', 'Sv48jgljDP-CRfXmU8uSgA', 'l_yEb3Q-q7C5Eq1HReCrzw', 'uG35h72BAMutvXAWdRpqCQ']"
-1ZMRA0N01rqZL0TWk3fgA,['no2kFt4TEEzZDVaM8haSDA']
-1x8gXJnrI-FeZPNvnfbRg,['Ryxj0u0AW3mRsRypdYli2A']
-23_Vbssaeof8B9G75o3gw,['ZWD8UH1T7QXQr0Eq-mcWYg']
-267Yx8RmdP6io2-qI4UcQ,"['3Qv2rjPXC2eNKyV5lh3J_g', 'A5A34ixb-yy6nwL42iZsnw', 'E3pXvQwKsPBQGQ7RkLrN3g', 'F2av57ztcbYiPADtT-YpdA', 'IyIsFkVY48JWa01inv-7zA', 'TOrRfYRFuxx0k9HH7OC6pQ', 'Wbf8pEcvJFUbIbi4KU5_DQ', 'deL6e_z9xqZTIODKqnvRXQ', 'h9RUaaHa5kcQKqtJ-sgS0Q', 'i_DR3vdE73nVm2GlMbGpGA', 'jtM-lajwSwW65wJRaMuFxg', 'qewG3X2O4X6JKskxyyqFwQ', 'uG35h72BAMutvXAWdRpqCQ', 'wnO99pBbGqwqOoTQM25iCw']"
-2CgKa8YdvPzPB16XSA8Fg,['pjrpGQtM2Au3hJfypEWA0g']
-2OB54nQ6FsGLUM-R1KXnA,"['4wp4XI9AxKNqJima-xahlg', 'B-60XQ_fR72PevFzHM-ieQ', 'BkMqpJikNc3r5itc-ui6ww', 'EDpARScG-X4LTTpeszVmWw', 'UsmTxWbobLsI6WR1Db0W7A', 'cCke3VtFLtqgzkgYSrSE2g', 'cKeMks0yFeItSlkUKnZW0w', 'etU9P4_CgI4S79Ec5KHs9g', 'fFPc6xeOebK1ns8qYuUfew', 'lmEUPIf1nHb0opydm6Rsug', 'vNbr4JUZtIDB34xT-1n8ew']"
-3fMaL_ck0wzEsTZyz-mqA,"['AyYKTOCL5qM8589oBsqbfA', 'cMEtAiW60I5wE_vLfTxoJQ', 'lf1m4CbheuUR7fFZoLGRvA']"
